Country,Ewltp (g/km),Enedc (g/km)
AT,148.48990446217826,122.60060069511576
BE,143.67959319931026,117.83344589534099
BG,153.0796765014228,126.31391183202308
CY,152.59675082781456,125.56968641114983
CZ,148.59513431537866,123.78034910562764
DE,155.14781867123486,129.06085613592757
DK,135.33363239647227,110.36337448810825
EE,152.10492257915413,124.3762999768893
ES,141.15505880079667,115.42440021496964
FI,141.05107902921324,116.10545602605863
FR,133.92541520145198,108.50708992212688
GB,149.6522989968052,123.54806883258568
GR,133.77613594384928,109.71517260468978
HR,138.03542887586573,113.97607782837542
HU,147.78419582367349,121.69575189632857
IE,139.08893211390463,113.34552703110843
IS,162.42946317103622,133.09263370332997
IT,139.0875508053089,113.11488596174307
LT,148.39805676688854,121.0366708289799
LU,160.0022570435324,132.68142601756614
LV,151.4956983805668,122.91823101640453
MT,136.65104166666666,111.8583807873236
NL,136.92434233547695,112.20414233392172
NO,147.80890156918687,118.34607617259721
PL,148.7800281647908,123.96209196866918
PT,133.21028975494778,109.33632706140529
RO,144.48816362827924,120.18680918363721
SE,153.08366219415944,126.58869411300556
SI,143.77943057915942,118.37282343057889
SK,148.07431977694452,123.00578050555396
