Variant name,,locations.van_base.charger_efficiency,locations.van_customer.charger_efficiency,locations.van_base.proportion_of_discharge_to_network,locations.van_customer.proportion_of_discharge_to_network,locations.van_customer.connectivity,mobility_module.day_start_hour,run.start.hour,legs.van_to_customer.distance,legs.van_to_customer.duration,legs.van_to_base.distance,legs.van_to_base.duration
BEALB_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEANT_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEBRU_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BECHA_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEFLA_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEGHE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEHAI_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BELIE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
NLCHE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLEAS_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLEEM_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLNOO_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLNOR_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLROT_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLSOU_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLWES_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
NLZEE_van_2030,0.85,0.85,0.85,0.85,0.25,5,5,2.6,0.25,2.6,0.25,
BEALB_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEANT_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEBRU_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BECHA_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEFLA_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEGHE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEHAI_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BELIE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
NLCHE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLEAS_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLEEM_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLNOO_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLNOR_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLROT_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLSOU_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLWES_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
NLZEE_van_2040,0.87,0.87,0.87,0.87,0.5,5,5,2.6,0.25,2.6,0.25,
BEALB_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEANT_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEBRU_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BECHA_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEFLA_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEGHE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BEHAI_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
BELIE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.696296296,0.259259259,2.696296296,0.259259259,
NLCHE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLEAS_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLEEM_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLNOO_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLNOR_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLROT_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLSOU_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLWES_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
NLZEE_van_2050,0.92,0.92,0.92,0.92,0.75,5,5,2.6,0.25,2.6,0.25,
